",H. 2 1/2 in. (6.4 cm); Diam. 5 3/4 in. (14.6 cm),"Bequest of Robert West, 1950",,,,,,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/52634,3/19/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
2005.100.501 (12),False,True,288182,Photographs,Photograph,Vue de la Ville Chinoise (Cholen) Feuille No. 4,,,,,,Artist,,Emile Gsell,"French, Sainte-Marie-aux-Mines 1838–1879 Vietnam",,"Gsell, Emile",French,1838      ,1879      ,1866,1866,1866,Albumen silver print from glass negative,23.9 x 30 cm (9 7/16 x 11 13/16 in.),"Gilman Collection, Purchase, The Horace W. Goldsmith Foundation Gift, through Joyce and Robert Menschel, 2005",,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/288182,3/19/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
22.100.111,False,True,447569,Islamic Art,Carpet,Carpet,,,,,,,,,,,,,,,16th–17th century,1500,1699,"Wool (warp, weft and pile); symmetrically knotted pile","H. 70 in. (177.8 cm)
d: H. 4 in. (10.2 cm); W. 1 11/16 in. (4.3 cm); D. 1 1/8 in. (2.9 cm)
15.43.143,False,True,248921,Greek and Roman Art,Weight,Glass weight,Roman (?),,,,,,,,,,,,,,1st century A.D. or later,1,199,Glass,"Height: 4 1/16 in., (10.3 cm)
08.256.270,False,True,445554,Islamic Art,Fragment,Fragment,,,,,,,,,,,,,,,11th century,1000,1099,"Earthenware; tin-enameled, luster-painted",,"Rogers Fund, 1908",Made in,,,,Egypt,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/445554,3/19/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
49.95.211,False,False,396264,Drawings and Prints,Print,Bust of a Man in Fantastic Headgear,,,,,Set of 6 masquerade coiffures,Artist|Artist,After,René Boyvin|Rosso Fiorentino,"French, Angers ca. 1525–1598 or 1625/6 Angers|Italian, Florence 1494–1540 Fontainebleau",,"Boyvin, René|Fiorentino, Rosso",French|Italian,1525      |1494      ,1598      |1540      ,,1525,1600,Etching,sheet: 5 11/16 x 4 3/16 in. (14.5 x 10.6 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1949",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/396264,3/19/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
1993.1003,False,False,359803,Drawings and Prints,Print,The Battle of the Centaurs and Lapiths at the Wedding of Hippodamia,,,,,,Artist|Artist,after,Cornelis Bos|Luca Penni,"Netherlandish, Hertogenbosch ca. 1510?–before 1566 Groningen|Italian, Florence 1500/1504–1557 Paris",,"Bos, Cornelis|Penni, Luca",Netherlandish|Italian,1510      |1500      ,1566      |1557      ,1550,1550,1550,"Engraving on two plates, printed on two sheets",,"Purchase, Derald H. and Janet Ruttenberg Gift, 1993",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/359803,3/19/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
98.4.3u,False,False,571343,Egyptian Art,"Relief fragment, tomb of Mereri","Relief fragment, tomb of Mereri",,First Intermediate Period,Dynasty 9,,,,,,,,,,,,ca. 2100–2030 B.C.,-2100,-2030,Limestone,,"Gift of Egypt Exploration Fund, 1898",From,,,,Egypt,Northern Upper Egypt,Dendera,Tomb of Mereri,Behind Temple of Hathor,"Egypt Exploration Fund excavations, 1898",,,,http://www.metmuseum.org/art/collection/search/571343,3/19/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
96.14.1434,False,True,67147,Asian Art,Piece,,Japan,,,,,,,,,,,,,,18th–19th century,1700,1899,Silk,2 3/4 x 7 in. (6.99 x 17.78 cm),"Gift of Mr. and Mrs. H. O. Havemeyer, 1896",,,,,,,,,,,,Textiles-Woven,,http://www.metmuseum.org/art/collection/search/67147,3/19/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
67.802.9,False,False,350907,Drawings and Prints,Book,The Cloud Kingdom,,,,,,Publisher|Illustrator|Author|Printer|Publisher,,"John Lane Co.|Charles Robinson|Isaac Henry Wallis|Ballantyne & Co.|John Lane, The Bodley Head","New York|British, London 1870–1937 Buckinghamshire|British, born 1855|Edinburgh and London",", London","Lane, John Co.|Robinson, Charles|Wallis, Isaac Henry|Ballantyne & Co.|Lane, John, The Bodley Head","British|British|British, active Scotland and England|British",1896      |1870      |1855      |1800      |1854      ,1921      |1937      |1955      |2000      |1925      ,[1905],1905,1905,Illustrations: lithography,7 3/4 x 5 3/8 in. (19.7 x 13.7 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1967",,,,,,,,,,,,Books,,http://www.metmuseum.org/art/collection/search/350907,3/19/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
27.9 x 8.9 cm","The Nuttall Collection, Gift of Mrs. Magdalena Nuttall, 1908",,,,,,,,,,,,Textiles-Laces,,http://www.metmuseum.org/art/collection/search/215247,3/19/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
42.169,False,False,488045,Modern and Contemporary Art,Painting,Waterfront Mill,,,,,,Artist,,Niles Spencer,"American, Pawtucket, Rhode Island 1893–1952 Dingman's Ferry, Pennsylvania",,"Spencer, Niles",American,1893      ,1952      ,1940,1940,1940,Oil on canvas,30 x 36 in. (76.2 x 91.4 cm),"Arthur Hoppock Hearn Fund, 1942",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/488045,3/19/2018 8:00:01 AM,"Metropolitan Museum of Art, New York, NY"
